Atemlose Liebe,"Minami, Kanan","Minami, Kanan",Tokyopop,laufend,-,3,de,Shojo,https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/87336-z5vPeUnmIgKl.jpg,,
Attack on Titan,"Isayama, Hajime","Isayama, Hajime",Carlsen,laufend,-,26,de,Action,https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/23390-PEsWVu9n8lhb.png,,
Attack on Titan no Regrets,Konkichi,Hikaru Suruga,Carlsen,abgeschlossen,2,2,de,Action,https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/55199.jpg,,
Ayashi no Ceres,"Watase, Yuu","Watase, Yuu",Egmont,abgeschlossen,14,14,de,Shojo,https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/83-C3UNZ5ppvkP6.png,,
Azumanga Daioh,"Azuma, Kiyohiko","Azuma, Kiyohiko",Tokyopop,abgeschlossen,4,3,de,Comedy,https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/n30085-EiFHtQfdeHjp.jpg,,
Azumanga Daioh (English),"Azuma, Kiyohiko","Azuma, Kiyohiko",Tokyopop,abgeschlossen,4,4,eng,Comedy,https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/n30085-EiFHtQfdeHjp.jpg,,
Bakuman,"Ohba, Tsugumi","Obata, Takeshi",Tokyopop,abgeschlossen,20,20,de,Slice of Life,https://s4.anilist.co/file/anilistcdn/media/manga/cover/large/bx39711-tjPWXT1AW321.jpg,,
Bastard!!,"Hagiwara, Kazushi","Hagiwara, Kazushi",Carlsen,laufend,,2,de,Action,https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/611.jpg,,
Battle Angel Alita Mars Chronicle,"Kishiro, Yukito","Kishiro, Yukito",Carlsen,abgeschlossen,,2,de,Science Fiction,https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/768-CqOMBOoFl5pg.jpg,,
Battle Angel Alita Perfect Edition,"Kishiro, Yukito","Kishiro, Yukito",Carlsen,abgeschlossen,4,2,de,Science Fiction,https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/56597-LQQatNGVItG2.jpg,,
Beauty and the Beast Girl,Neji,Neji,Seven Seas,abgeschlossen,,1,eng,Yuri,https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/b107898-4HcGe2TKr57o.jpg,,
Beck,"Sakuishi, Harold","Sakuishi, Harold",Tokyopop,abgebrochen,17,11,de,Musik,https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/145-bJCc0qZ8lWFi.jpg,,
